City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Kapaa,US,22.08,-159.32,82.4,74.0,20.0,21.92
Rikitea,PF,-23.12,-134.97,70.59,78.0,3.0,19.46
Tasiilaq,GL,65.61,-37.64,41.0,93.0,100.0,5.82
Puerto Ayora,EC,-0.74,-90.35,68.0,88.0,55.0,3.0
Forsytheganj,BY,52.63,29.73,64.87,91.0,85.0,4.72
Kaitangata,NZ,-46.28,169.85,54.0,57.0,0.0,1.01
Albany,US,42.6,-73.97,77.0,96.0,94.0,4.38
Kununurra,AU,-15.77,128.73,82.4,14.0,66.0,10.29
Chui,UY,-33.7,-53.46,45.97,92.0,2.0,7.05
Belyy Yar,RU,53.6,91.39,68.0,64.0,91.0,11.18
Castro,BR,-24.79,-50.01,54.1,92.0,100.0,2.95
Blackfoot,US,43.19,-112.34,73.99,23.0,0.0,5.03
Camapuã,BR,-19.53,-54.04,69.53,47.0,71.0,6.49
Ushuaia,AR,-54.8,-68.3,33.8,80.0,40.0,21.92
North Bend,US,43.41,-124.22,62.01,93.0,1.0,5.82
Hobart,AU,-42.88,147.33,55.0,58.0,90.0,16.11
Husavik,IS,66.04,-17.34,42.28,80.0,83.0,7.23
Ostrovnoy,RU,68.05,39.51,62.53,73.0,90.0,1.39
Klaksvík,FO,62.23,-6.59,46.4,87.0,100.0,14.99
Tiarei,PF,-17.53,-149.33,78.8,78.0,40.0,13.87
Pevek,RU,69.7,170.31,41.13,87.0,33.0,30.29
Vila Velha,BR,-20.33,-40.29,69.8,94.0,90.0,1.12
Parsons,US,37.34,-95.26,80.6,74.0,1.0,9.31
Yulara,AU,-25.24,130.99,68.0,28.0,0.0,12.75
Muravlenko,RU,63.79,74.52,56.17,53.0,100.0,14.25
Maţāy,EG,28.42,30.78,76.17,61.0,0.0,14.41
Hailun,CN,47.45,126.93,86.45,47.0,0.0,6.2
Norman Wells,CA,65.28,-126.83,71.6,53.0,20.0,4.7
Khatanga,RU,71.97,102.5,47.12,61.0,99.0,10.27
Punta Arenas,CL,-53.15,-70.92,35.6,74.0,64.0,12.75
East London,ZA,-33.02,27.91,55.4,66.0,40.0,8.05
Bredasdorp,ZA,-34.53,20.04,35.6,93.0,0.0,4.83
Ridgecrest,US,35.62,-117.67,89.6,13.0,1.0,11.41
Caravelas,BR,-17.71,-39.25,70.11,84.0,30.0,5.64
Kautokeino,NO,69.01,23.04,57.16,78.0,10.0,12.53
Mossamedes,AO,-15.2,12.15,65.07,74.0,0.0,3.76
Sumter,US,28.71,-82.08,78.01,95.0,41.0,1.99
São Domingos do Maranhão,BR,-5.58,-44.39,69.4,54.0,0.0,4.99
New Norfolk,AU,-42.78,147.06,55.0,73.0,100.0,1.01
Cape Town,ZA,-33.93,18.42,51.01,93.0,0.0,3.36
Fare,PF,-16.7,-151.02,79.57,76.0,100.0,15.35
Casambalangan,PH,18.38,122.13,87.78,66.0,57.0,5.19
Saldanha,ZA,-33.01,17.94,44.6,81.0,0.0,6.93
Port Elizabeth,ZA,-33.92,25.57,50.0,87.0,87.0,8.05
Atuona,PF,-9.8,-139.03,80.1,73.0,7.0,26.04
Cabo San Lucas,MX,22.89,-109.91,82.99,78.0,40.0,13.87
San Luis,AR,-33.3,-66.34,47.37,50.0,38.0,20.33
Mataura,NZ,-46.19,168.86,39.0,83.0,0.0,3.0
Gaoual,GN,11.75,-13.2,73.87,94.0,100.0,2.08
Lufilufi,WS,-13.87,-171.6,82.4,88.0,75.0,8.05
Mahébourg,MU,-20.41,57.7,71.6,73.0,75.0,14.99
São Filipe,CV,14.9,-24.5,74.43,84.0,70.0,12.37
Hofn,IS,64.25,-15.21,47.79,61.0,100.0,14.72
Troitsko-Pechorsk,RU,62.71,56.2,72.59,44.0,27.0,6.26
Saint-Philippe,RE,-21.36,55.77,69.8,64.0,56.0,2.24
Bambous Virieux,MU,-20.34,57.76,73.0,73.0,75.0,14.99
George Town,MY,5.41,100.34,87.8,74.0,20.0,10.29
Half Moon Bay,US,37.46,-122.43,64.4,93.0,90.0,4.7
Nikolskoye,RU,59.7,30.79,69.01,82.0,17.0,4.47
Honiara,SB,-9.43,159.95,91.4,59.0,20.0,11.41
Kurumkan,RU,54.3,110.3,65.03,84.0,100.0,3.13
Inawayan,PH,6.96,125.47,83.03,73.0,99.0,5.61
Chokurdakh,RU,70.63,147.92,47.95,59.0,95.0,11.01
Libertador General San Martín,AR,-23.81,-64.79,46.0,79.0,0.0,2.44
Yellowknife,CA,62.46,-114.35,66.0,63.0,75.0,9.17
Makakilo City,US,21.35,-158.09,82.4,65.0,90.0,14.99
The Pas,CA,53.83,-101.25,66.2,68.0,20.0,8.05
Laguna,US,38.42,-121.42,77.0,41.0,1.0,9.17
Naze,JP,28.37,129.48,89.6,75.0,75.0,14.99
Kambove,CD,-10.88,26.6,46.74,85.0,0.0,4.5
Tiznit Province,MA,29.58,-9.5,74.19,47.0,20.0,1.32
Shimoda,JP,34.67,138.95,78.8,88.0,75.0,13.87
Carnarvon,AU,-24.87,113.63,71.6,35.0,0.0,8.05
Goderich,CA,43.75,-81.72,80.01,87.0,100.0,1.99
Busselton,AU,-33.65,115.33,69.01,73.0,93.0,11.99
Ilulissat,GL,69.22,-51.1,44.6,93.0,100.0,6.93
Torbay,CA,47.67,-52.73,55.99,100.0,90.0,18.34
Tessalit,ML,20.2,1.01,90.79,32.0,81.0,7.36
La Grande,US,45.32,-118.09,75.2,36.0,1.0,6.93
Bethel,US,41.37,-73.41,72.0,78.0,1.0,5.21
Lalupon,NG,7.47,4.07,70.45,96.0,98.0,3.13
Kimbe,PG,-5.55,150.14,85.24,72.0,100.0,3.53
Chumikan,RU,54.72,135.31,63.75,71.0,2.0,7.45
Esperance,AU,-33.87,121.9,64.4,68.0,67.0,23.04
Labuhan,ID,-6.88,112.21,85.21,53.0,80.0,3.56
Shahr-e Kord,IR,32.33,50.86,75.2,27.0,20.0,2.24
Te Anau,NZ,-45.42,167.72,45.32,82.0,15.0,0.16
Ponnāni,IN,10.77,75.93,84.2,79.0,20.0,4.7
Mackenzie,CA,55.3,-123.17,62.98,70.0,6.0,4.79
Vaini,TO,-21.2,-175.2,73.4,78.0,40.0,11.41
Isangel,VU,-19.55,169.27,80.6,69.0,9.0,10.29
Aykhal,RU,66.0,111.5,42.8,75.0,90.0,8.95
Ossora,RU,59.24,163.07,65.35,54.0,0.0,6.17
Cockburn Town,TC,21.46,-71.14,82.4,83.0,42.0,16.4
Vila do Maio,CV,15.13,-23.22,77.0,78.0,20.0,10.29
Upernavik,GL,72.79,-56.15,42.78,81.0,30.0,6.64
Bondeno,IT,44.89,11.41,71.01,85.0,10.0,1.99
Urusha,RU,54.05,122.9,78.03,65.0,99.0,5.88
Touros,BR,-5.2,-35.46,71.6,100.0,75.0,4.7
Nouadhibou,MR,20.93,-17.03,71.6,83.0,0.0,20.8
Hermanus,ZA,-34.42,19.23,45.0,88.0,1.0,1.99
Buta,CD,2.79,24.73,66.94,93.0,20.0,1.81
Kuruman,ZA,-27.45,23.43,37.0,68.0,0.0,10.67
Gisborne,NZ,-38.65,178.0,55.0,64.0,10.0,1.99
Bilibino,RU,68.05,166.44,80.37,34.0,95.0,19.06
Valparaíso,CL,-33.04,-71.63,54.0,64.0,100.0,14.92
Tiksi,RU,71.69,128.87,38.53,90.0,99.0,7.36
Bluff,NZ,-46.6,168.33,39.0,83.0,0.0,3.0
Saint George,US,37.1,-113.58,93.2,13.0,1.0,6.93
Katsuura,JP,35.13,140.3,84.0,94.0,75.0,18.34
Ribeira Grande,PT,38.52,-28.7,73.09,90.0,12.0,4.32
Roald,NO,62.58,6.13,59.0,77.0,100.0,9.17
Tuktoyaktuk,CA,69.45,-133.04,62.6,77.0,75.0,11.41
Cherskiy,RU,68.75,161.3,49.87,68.0,64.0,27.09
Hithadhoo,MV,-0.6,73.08,82.96,69.0,84.0,5.93
Provideniya,RU,64.38,-173.3,50.0,87.0,90.0,17.9
Olafsvik,IS,64.89,-23.71,46.81,74.0,17.0,8.25
Nanortalik,GL,60.14,-45.24,42.71,87.0,17.0,3.33
Avarua,CK,-21.21,-159.78,69.8,88.0,65.0,5.82
Souillac,MU,-20.52,57.52,71.6,73.0,75.0,14.99
Katangli,RU,51.71,143.23,61.0,76.0,59.0,9.84
Arraial do Cabo,BR,-22.97,-42.03,71.06,89.0,46.0,14.16
Aranos,NA,-24.13,19.12,45.3,56.0,0.0,10.07
Kānker,IN,20.27,81.49,88.57,56.0,89.0,5.14
Qaanaaq,GL,77.48,-69.36,39.47,72.0,0.0,1.25
Maragogi,BR,-9.01,-35.22,73.36,80.0,74.0,11.63
General Roca,AR,-39.03,-67.58,41.0,61.0,0.0,2.24
Barrow,US,71.29,-156.79,51.8,87.0,90.0,26.4
Udachny,RU,66.42,112.4,42.8,75.0,90.0,8.95
Jamestown,US,42.1,-79.24,69.8,83.0,1.0,6.22
Stokmarknes,NO,68.56,14.91,64.0,64.0,45.0,8.01
Sur,OM,22.57,59.53,91.36,57.0,64.0,6.91
Vostok,RU,46.49,135.88,78.98,54.0,37.0,4.0
Korla,CN,41.76,86.15,92.52,18.0,0.0,6.17
Okhotsk,RU,59.38,143.3,64.87,69.0,1.0,11.25
Lensk,RU,60.73,114.93,74.23,46.0,100.0,11.23
Port Alfred,ZA,-33.59,26.89,53.87,69.0,74.0,5.23
San Quintín,MX,30.48,-115.95,67.15,85.0,0.0,12.88
Asău,RO,46.43,26.4,66.99,79.0,91.0,3.62
Tuatapere,NZ,-46.13,167.68,39.0,83.0,20.0,3.0
Lorengau,PG,-2.02,147.27,83.64,76.0,41.0,5.1
San Patricio,MX,19.22,-104.7,78.71,82.0,98.0,2.28
Lebu,CL,-37.62,-73.65,47.23,83.0,58.0,7.58
Carambeí,BR,-24.92,-50.1,52.21,99.0,100.0,3.27
Elesbão Veloso,BR,-6.2,-42.14,69.3,59.0,91.0,4.56
Vrangel',RU,42.73,133.08,67.06,89.0,96.0,11.61
Lundazi,ZM,-12.29,33.18,55.22,75.0,70.0,10.94
Sevierville,US,35.87,-83.56,73.4,94.0,20.0,2.91
Necochea,AR,-38.55,-58.74,46.0,81.0,89.0,5.99
Amga,RU,60.9,131.96,80.24,37.0,100.0,1.92
Porto Santo,PT,33.07,-16.34,68.0,88.0,40.0,11.41
Cidreira,BR,-30.18,-50.21,55.11,88.0,74.0,6.15
Saint Paul Harbor,US,57.79,-152.41,60.8,72.0,1.0,5.82
Itarema,BR,-2.92,-39.92,75.04,86.0,90.0,12.84
Catuday,PH,16.29,119.81,84.83,71.0,0.0,6.58
Mehamn,NO,71.04,27.85,68.0,56.0,9.0,3.36
Hasaki,JP,35.73,140.83,84.2,74.0,75.0,13.87
Coquimbo,CL,-29.95,-71.34,50.0,81.0,97.0,3.36
Kavieng,PG,-2.57,150.8,84.42,68.0,100.0,3.0
Monrovia,LR,6.3,-10.8,75.65,80.0,80.0,8.08
Maniitsoq,GL,65.42,-52.9,45.5,93.0,97.0,4.65
Dikson,RU,73.51,80.55,38.52,87.0,95.0,14.23
Walvis Bay,NA,-22.96,14.51,69.8,26.0,0.0,16.11
Paamiut,GL,61.99,-49.67,44.15,92.0,53.0,2.77
Ţahţā,EG,26.77,31.5,82.4,51.0,0.0,18.34
Algarrobo,CO,10.19,-74.58,75.0,87.0,100.0,3.0
Beloha,MG,-25.17,45.05,60.94,74.0,0.0,5.35
Butaritari,KI,3.07,172.79,82.65,78.0,47.0,12.39
Lucapa,AO,-8.42,20.74,58.68,43.0,38.0,4.32
St. George's,GD,12.06,-61.75,82.4,78.0,20.0,5.82
Ulagan,RU,50.63,87.96,71.01,42.0,97.0,2.35
Los Llanos de Aridane,ES,28.66,-17.92,71.6,73.0,90.0,13.87
Bengkulu,ID,-3.8,102.27,85.51,61.0,2.0,10.6
Otradnoye,RU,59.78,30.82,69.01,82.0,18.0,4.47
Espera Feliz,BR,-20.65,-41.91,62.15,94.0,69.0,1.61
Lagoa,PT,39.05,-27.98,72.21,93.0,0.0,5.61
Pochutla,MX,15.74,-96.47,80.01,78.0,100.0,4.59
Severo-Kuril'sk,RU,50.68,156.12,53.51,85.0,92.0,17.63
Yining,CN,29.04,114.56,82.81,85.0,100.0,3.04
Tymovskoye,RU,50.85,142.66,68.86,61.0,76.0,2.55
Port Hedland,AU,-20.32,118.57,82.4,10.0,22.0,13.87
Pacific Grove,US,36.62,-121.92,60.8,82.0,1.0,4.7
Chicla,PE,-11.71,-76.27,45.03,59.0,10.0,3.18
Andenes,NO,69.31,16.12,60.8,67.0,50.0,9.17
Manali,IN,13.17,80.27,91.4,59.0,20.0,9.17
Tura,IN,25.52,90.22,85.98,76.0,72.0,4.52
Nagato,JP,34.38,131.2,78.8,100.0,75.0,12.75
Miraflores,MX,19.22,-98.81,66.2,63.0,20.0,5.82
Hobyo,SO,5.35,48.53,80.67,66.0,32.0,20.2
Road Town,VG,18.42,-64.62,82.0,86.0,84.0,7.0
Mar del Plata,AR,-38.0,-57.56,53.01,81.0,100.0,10.29
Antofagasta,CL,-23.65,-70.4,51.8,81.0,40.0,2.24
Longuenesse,FR,50.73,2.24,60.01,96.0,100.0,7.0
Saint-Ambroise,CA,48.55,-71.33,66.99,93.0,75.0,2.24
Finale Ligure,IT,44.17,8.34,70.0,100.0,20.0,12.75
Hilo,US,19.73,-155.09,82.4,69.0,90.0,6.93
Genk,BE,50.97,5.5,62.01,73.0,87.0,4.94
Rio Grande,BR,-32.03,-52.1,46.0,96.0,28.0,7.47
Stege,DK,54.99,12.28,61.0,76.0,58.0,8.88
Vozhega,RU,60.47,40.22,66.58,61.0,0.0,0.83
Hong Kong,HK,22.29,114.16,91.0,62.0,67.0,15.99
Diamantino,BR,-14.41,-56.45,67.28,47.0,0.0,3.62
Kruisfontein,ZA,-34.0,24.73,49.73,75.0,85.0,2.62
Kwang Binh,VN,17.48,106.6,99.03,43.0,93.0,2.28
Bilma,NE,18.69,12.92,85.12,21.0,15.0,4.47
Chute-aux-Outardes,CA,49.12,-68.4,57.2,100.0,1.0,2.24
Kalabo,ZM,-14.97,22.68,48.34,69.0,1.0,5.1
Ixtapa,MX,20.7,-105.2,82.4,83.0,75.0,1.21
San Policarpo,PH,12.18,125.51,85.42,72.0,89.0,6.38
Oranjemund,NA,-28.55,16.43,54.18,83.0,0.0,5.1
Vila,PT,42.03,-8.16,61.0,88.0,0.0,1.01
Uray,RU,60.12,64.78,69.12,56.0,39.0,8.72
Nālūt,LY,30.33,10.85,74.08,39.0,0.0,8.77
Marsá Maţrūḩ,EG,31.35,27.25,71.6,88.0,40.0,5.82
Praia,CV,14.92,-23.51,77.0,78.0,20.0,10.29
Ilām,NP,26.92,87.92,80.6,100.0,75.0,3.36
Fairbanks,US,64.84,-147.72,68.0,48.0,75.0,10.29
Krasnoarmiys'k,UA,48.28,37.18,76.55,35.0,93.0,12.84
Rosarito,MX,32.33,-117.03,68.0,88.0,75.0,4.7
Kondinskoye,RU,59.65,67.41,68.09,57.0,28.0,8.3
Saskylakh,RU,71.92,114.08,41.27,88.0,100.0,14.52
Itaí,BR,-23.42,-49.09,56.44,94.0,66.0,6.71
Kasongo-Lunda,CD,-6.47,16.82,62.83,48.0,76.0,1.99
Price,US,39.6,-110.81,77.0,25.0,1.0,8.05
Port Hardy,CA,50.7,-127.42,64.4,82.0,20.0,6.93
Koygorodok,RU,60.45,51.0,73.78,53.0,34.0,1.36
Leningradskiy,RU,69.38,178.42,48.81,86.0,72.0,15.59
Sungai Raya,ID,0.7,108.9,84.33,72.0,99.0,6.46
Bundaberg,AU,-24.85,152.35,69.8,40.0,26.0,6.93
Mahanoro,MG,-19.9,48.8,66.07,74.0,52.0,4.76
Mount Isa,AU,-20.73,139.5,73.4,20.0,0.0,13.87
Batagay-Alyta,RU,67.8,130.41,64.08,33.0,70.0,12.37
Gao,ML,16.64,1.64,89.76,42.0,39.0,7.36
Otane,NZ,-39.88,176.63,51.01,72.0,0.0,1.99
Vestmanna,FO,62.16,-7.17,46.4,87.0,100.0,14.99
Dunedin,NZ,-45.87,170.5,51.01,74.0,0.0,8.01
Longyearbyen,SJ,78.22,15.64,59.0,72.0,3.0,2.24
Clyde River,CA,70.47,-68.59,42.8,93.0,90.0,10.29
Tabou,CI,4.42,-7.35,73.53,86.0,92.0,8.37
Kangaatsiaq,GL,68.31,-53.46,44.01,94.0,100.0,21.34
Odienné,CI,9.51,-7.57,69.42,95.0,91.0,2.68
Verkh-Usugli,RU,52.7,115.17,82.17,41.0,37.0,13.27
San Lorenzo,PY,-25.33,-57.53,59.0,67.0,77.0,5.35
Sandviken,SE,60.62,16.77,64.99,88.0,87.0,3.0
Geraldton,AU,-28.77,114.6,75.2,23.0,0.0,16.11
Parrita,CR,9.52,-84.32,69.8,100.0,75.0,2.24
Constitución,CL,-35.33,-72.42,49.42,78.0,100.0,6.82
Raudeberg,NO,61.99,5.14,57.2,87.0,75.0,18.34
Severodvinsk,RU,64.56,39.83,68.0,77.0,20.0,2.24
Minot,US,48.23,-101.3,66.2,59.0,1.0,9.17
Vao,NC,-22.67,167.48,71.26,82.0,18.0,16.11
Padang,ID,-0.95,100.35,84.2,74.0,20.0,4.7
Iqaluit,CA,63.75,-68.51,44.6,93.0,40.0,1.39
Deputatsky,RU,69.3,139.9,55.96,67.0,90.0,4.09
Mattru,SL,7.62,-11.83,71.85,92.0,100.0,1.59
Milan,IT,45.46,9.19,73.99,78.0,0.0,2.24
Matai,TZ,-8.3,31.52,50.0,93.0,49.0,5.39
Anaco,VE,9.44,-64.47,73.89,91.0,89.0,2.86
Ponta Delgada,PT,37.73,-25.67,69.8,94.0,75.0,5.82
Rawson,AR,-43.3,-65.1,40.91,79.0,92.0,12.86
Kahului,US,20.89,-156.47,82.4,74.0,75.0,5.82
Cobija,BO,-11.03,-68.77,68.56,78.0,10.0,1.88
Slave Lake,CA,55.28,-114.77,68.0,72.0,1.0,4.7
Constantine,DZ,36.37,6.61,71.6,46.0,0.0,4.7
Shetpe,KZ,44.17,52.12,82.58,19.0,63.0,19.28
Piney Green,US,34.72,-77.32,80.01,83.0,1.0,6.93
San Cristobal,VE,7.77,-72.22,63.88,85.0,71.0,2.3
Petrovskoye,RU,57.01,39.27,65.16,81.0,42.0,4.99
Itacoatiara,BR,-3.14,-58.44,73.4,94.0,0.0,1.5
Ayorou,NE,14.73,0.92,86.18,55.0,1.0,10.94
Yoichi,JP,43.2,140.77,68.0,82.0,75.0,16.11
Røros,NO,62.57,11.38,53.6,100.0,100.0,6.93
Izberbash,RU,42.57,47.86,80.6,74.0,2.0,8.95
Lázaro Cárdenas,MX,17.96,-102.2,78.6,80.0,48.0,3.42
Tuy Hoa,VN,13.08,109.3,92.88,52.0,52.0,5.66
Riyadh,SA,24.69,46.72,91.4,31.0,32.0,4.7
Airai,TL,-8.93,125.41,72.52,55.0,57.0,5.53
Champerico,GT,14.3,-91.92,80.15,81.0,100.0,8.52
Mauguio,FR,43.62,4.01,68.0,72.0,0.0,6.93
Yumen,CN,40.28,97.2,86.47,15.0,0.0,7.11
Esil,KZ,51.96,66.4,68.32,62.0,50.0,11.86
Hamilton,US,39.18,-84.53,80.01,83.0,1.0,5.7
Pangnirtung,CA,66.15,-65.71,51.15,71.0,100.0,2.8
Ponta do Sol,PT,32.67,-17.1,68.0,72.0,20.0,11.41
Kavaratti,IN,10.57,72.64,84.2,74.0,20.0,6.93
Iranshahr,IR,27.2,60.68,95.0,41.0,30.0,7.0
Coyhaique,CL,-45.58,-72.07,30.2,86.0,24.0,1.12
Trogir,HR,43.51,16.25,69.8,64.0,0.0,3.36
Farim,GW,12.48,-15.22,74.46,96.0,100.0,5.08
Dutlwe,BW,-23.98,23.9,41.7,61.0,0.0,6.91
